[2016-08-09T14:46:58+0800] [info] - start[1470725218114] time[3] tag[http#GET-/javascripts/src/config/requirejs-config.js]
[2016-08-09T14:46:58+0800] [info] - start[1470725218226] time[2] tag[http#GET-/javascripts/src/com/main.js]
[2016-08-09T14:46:58+0800] [info] - start[1470725218227] time[2] tag[http#GET-/javascripts/src/home/index.js]
[2016-08-09T14:46:58+0800] [info] - start[1470725218316] time[2] tag[rpc#ProductFacade.getCategoryTree]
[2016-08-09T14:46:58+0800] [info] - start[1470725218314] time[16] tag[http#GET-/Home/SaveUtm]
[2016-08-09T14:46:58+0800] [info] - start[1470725218343] time[2] tag[http#GET-/javascripts/src/com/jquery-plugins.js]
[2016-08-09T14:46:58+0800] [info] - start[1470725218455] time[2] tag[http#GET-/javascripts/src/plugins/sub-menu.js]
[2016-08-09T14:46:58+0800] [info] - start[1470725218456] time[2] tag[http#GET-/javascripts/src/plugins/top-menu.js]
[2016-08-09T14:46:58+0800] [info] - start[1470725218539] time[3] tag[http#GET-/javascripts/src/com/helper.js]
[2016-08-09T14:46:58+0800] [info] - start[1470725218595] time[5] tag[http#GET-/javascripts/src/plugins/fixed-tool-float.js]
[2016-08-09T14:46:58+0800] [info] - start[1470725218645] time[1] tag[http#GET-/html/public/top-menu.html]
[2016-08-09T14:46:58+0800] [info] - start[1470725218647] time[1] tag[http#GET-/html/product/fixed-tool-float.html]
[2016-08-09T14:46:58+0800] [info] - start[1470725218661] time[2] tag[http#GET-/favicon.ico]
[2016-08-09T14:46:58+0800] [info] - start[1470725218694] time[3] tag[http#GET-/api/users/islogin]
[2016-08-09T14:46:58+0800] [info] - start[1470725218725] time[2] tag[http#GET-/api/shopping-cart/list]
[2016-08-09T14:46:59+0800] [info] - start[1470725219242] time[22] tag[rpc#HomePageProviderFacade.getOperatePictures]
[2016-08-09T14:46:59+0800] [info] - start[1470725219249] time[20] tag[rpc#PortalSaleFacade.getPlanInsuredBaseNum]
[2016-08-09T14:46:59+0800] [info] - start[1470725219244] time[27] tag[rpc#HomePageProviderFacade.getRecommendNews]
[2016-08-09T14:46:59+0800] [info] - start[1470725219245] time[544] tag[rpc#HomePageProviderFacade.getFriendlyLink]
[2016-08-09T14:46:59+0800] [info] - start[1470725219792] time[3] tag[rpc#ProductFacade.getCategoryTree]
[2016-08-09T14:46:59+0800] [info] - start[1470725219240] time[591] tag[http#GET-/]
[2016-08-09T14:46:59+0800] [info] - start[1470725219920] time[4] tag[http#GET-/stylesheets/src/index.css]
[2016-08-09T14:46:59+0800] [info] - start[1470725219931] time[4] tag[http#GET-/javascripts/src/config/requirejs-config.js]
